CALLDATE,LOGINTIME,DAYSWORKED,TOTALTALKTIME,INCOMINGCALLS,OUTGOINGEXTERNAL,HOLDTIME,WRAPTIME,TOTALHANDLETIME,AHTHANDLETIME,OUTBOUNDOFFERED,PERSONAL,READY,SMSCFLOORSUPPORT,LUNCH30,LUNCH60,INCOMINGCHAT,AGENT
5/6/2021,551,1,17334,78,1,1027,381,18742,18672,6,6,129,0,0,1,,Agent 29
9/3/2021,540,1,13474,51,2,1366,368,15208,14911,17,3,120,0,0,1,,Agent 15
1/4/2021,530,1,22368,67,0,2370,996,25734,25734,0,0,4,0,0,0,,Agent 34
5/26/2021,360,1,10446,29,10,1004,184,11634,10905,18,8,95,0,0,0,,Agent 5
2/19/2021,600,1,20575,74,4,1862,1138,23575,23353,14,0,70,0,0,0,,Agent 15
11/12/2021,421,1,15598,28,0,1072,161,16831,16831,2,5,40,0,1,0,,Agent 22
8/28/2021,272,1,207,1,0,0,3,210,210,0,0,0,267,0,0,,Agent 19
10/21/2021,510,1,8525,25,5,0,112,8637,8228,8,8,95,202,1,0,,Agent 30
11/17/2021,432,1,13879,39,2,1655,734,16268,15598,22,0,79,0,1,0,,Agent 41
4/6/2021,541,1,14773,71,5,194,490,15457,15016,5,0,124,0,0,0,,Agent 30
4/21/2021,541,1,12624,71,1,281,1047,13952,13904,9,37,112,0,0,1,,Agent 46
4/6/2021,511,1,14554,49,6,959,628,16141,14778,22,0,136,0,0,0,,Agent 35
9/8/2021,541,1,16514,37,2,2880,410,19804,19378,13,21,47,0,0,1,,Agent 36
8/19/2021,546,1,318,1,2,0,7,325,260,4,5,0,0,1,0,,Agent 35
9/17/2021,562,1,17330,49,2,3723,272,21325,21175,8,7,101,0,1,0,,Agent 48
12/31/2020,367,1,27269,12,1,2787,711,30767,6611,4,0,4,0,0,0,,Agent 35
9/30/2021,542,1,13454,55,1,2321,289,16064,16063,17,3,154,0,0,1,,Agent 29
10/25/2021,365,1,12554,45,1,1410,1174,15138,15042,13,0,34,0,0,0,,Agent 41
1/29/2021,540,1,16750,67,5,4281,390,21421,20026,3,0,73,0,0,0,,Agent 9
5/13/2021,545,1,17863,82,1,1908,1512,21283,21255,6,11,81,0,0,1,,Agent 46
11/15/2021,539,1,5453,5,8,0,249,5702,5077,43,2,18,0,1,0,,Agent 14
3/17/2021,541,1,18800,72,3,1306,920,21026,19864,8,0,44,0,0,0,,Agent 35
4/7/2021,418,1,10679,57,0,753,1065,12497,12497,6,0,105,0,0,0,,Agent 39
4/26/2021,552,1,13557,33,1,2057,404,16018,15879,5,19,71,0,0,1,,Agent 36
6/24/2021,541,1,11707,30,3,2053,382,14142,13760,8,26,109,0,0,1,,Agent 36
3/4/2021,542,1,17311,56,4,2758,1037,21106,20721,9,0,44,0,0,0,,Agent 35
5/20/2021,541,1,15600,77,3,991,1244,17835,17554,19,33,83,0,0,1,,Agent 46
3/22/2021,544,1,19299,96,1,2922,683,22904,22730,5,0,36,0,0,0,,Agent 9
10/21/2021,541,1,10172,30,9,911,623,11706,10749,44,6,85,0,1,0,,Agent 14
11/10/2021,526,1,17076,42,1,3810,213,21099,21019,6,5,115,0,1,0,,Agent 21
5/19/2021,271,1,11380,28,4,1570,206,13156,12653,9,1,30,0,0,0,,Agent 5
6/23/2021,510,1,16034,59,1,764,321,17119,17039,5,26,127,0,1,0,,Agent 12
7/9/2021,471,1,16553,60,0,1997,806,19356,19356,2,5,59,0,1,0,,Agent 41
3/12/2021,540,1,15347,58,3,2747,857,18951,18605,12,0,95,0,0,0,,Agent 35
5/17/2021,506,1,14270,82,0,3558,611,18439,18439,5,36,53,0,1,0,,Agent 3
10/8/2021,556,1,15057,30,0,1141,223,16421,16421,12,11,89,0,1,0,,Agent 22
12/31/2020,720,1,,,,,,,,0,0,0,0,0,0,,NULL
8/27/2021,541,1,15609,41,0,1395,439,17443,17443,11,2,110,0,1,0,,Agent 28
10/15/2021,558,1,12391,37,5,3028,363,15782,14704,40,21,77,0,0,1,,Agent 36
